POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Infinixi Kiosk Grand Mall Mactan,Gaisano Mall Basak,For Opening,"July 22, 2024",MO7RW2Y,North Cebu,Rona Jay Sinangote,Rulls
Oppo Kiosk Grand Mall Mactan,Gaisano Mall Basak,For Opening,"July 29, 2024",M2WF7ZB,North Cebu,Rona Jay Sinangote,Rulls
Realme Kiosk Grand Mall Mactan,Gaisano Mall Basak,For Opening,"July 22, 2024",MKZJ43R,North Cebu,Rona Jay Sinangote,Rulls
Vivo Kiosk Grand Mall Mactan,Gaisano Mall Basak,For Opening,"July 22, 2024",MEV4H2C,North Cebu,Rona Jay Sinangote,Rulls
Audionet Inline Island Mall Mactan,Gaisano Island Mall,For Opening,"July 22, 2024",MREAFOG,North Cebu,Rona Jay Sinangote,Rulls
Social Techno Island Mall Kiosk 2,Gaisano Island Mall,For Opening,"July 29, 2024",MKD0AUZ,North Cebu,Rona Jay Sinangote,Rulls
Tecnomobile Kiosk Gaisano Capital Mactan Island ,Gaisano Island Mall,For Opening,"July 29, 2024",MW08SPJ,North Cebu,Rona Jay Sinangote,Rulls
Lyd Kiosk Metro Naga,Metro Naga,For Opening,"July 18, 2024",M7SG0EO,South Cebu,Alexander Limosnero,Rulls
Rulls Metro Naga,Metro Naga,For Opening,"July 18, 2024",MWRFAYO,South Cebu,Alexander Limosnero,Rulls
Lyd Kiosk Metro Carcar,Super Metro Carcar,For Opening,"July 18, 2024",M2D1FPA,South Cebu,Alexander Limosnero,Rulls
Rulls Pajo,Super Metro Lapu Lapu,For Opening,"July 29, 2024",MIFYW28,North Cebu,Rona Jay Sinangote,Rulls
Rulls Bantayan Island Proper ,Standalone,For Opening,"July 18, 2024",MYG8TNS,South Cebu,Alexander Limosnero,Rulls
Rulls LG Mall Garden Walk Lapu Lapu,Standalone,For Opening,"July 29, 2024",M3IKS17,North Cebu,Rona Jay Sinangote,Rulls
Rulls Metro Carmen,Metro Supermarket Carmen,For Opening,"July 18, 2024",MLWPABY,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Argao,Standalone,For Opening,"July 18, 2024",MCFNJ65,South Cebu,Alexander Limosnero,Rulls
Rulls Inline Daan Bantayan,Standalone,For Opening,"July 18, 2024",MKB1ZUN,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Bogo 3,Standalone,For Opening,"July 18, 2024",MG9FE15,North Cebu,Rona Jay Sinangote,Rulls
Audionet Bogo,Standalone,For Opening,"July 18, 2024",MDXWIEG,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Bogo,Standalone,For Opening,"July 18, 2024",MU3ZYHD,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Bogo 2,Standalone,For Opening,"July 18, 2024",MLSX2IF,North Cebu,Rona Jay Sinangote,Rulls
Rulls Prince Pinamungahan ,Standalone,For Opening,"July 18, 2024",M541A0V,South Cebu,Alexander Limosnero,Rulls
Central Mall Audionet,Standalone,For Opening,"July 22, 2024",MKBOG1E,North Cebu,Rona Jay Sinangote,Rulls
Techlife Kiosk Gaisano Capital Mactan Island,Gaisano Island Mall,POS Operational,"July 18, 2024",M796RU1,North Cebu,Rona Jay Sinangote,Rulls
Rulls Ayala IT Park,Ayala Center Cebu,POS Operational,"July 18, 2024",MYWR1PX,South Cebu,Alexander Limosnero,Rulls
Realme Inlne Robinsons Galleria Cebu,Robinsons Galleria Cebu,POS Operational,"July 18, 2024",MX9OQN7,South Cebu,Alexander Limosnero,Rulls
